sentence	label	e1	e2
A strong association has been observed between reduced expression of the <e1> nm23 gene </e1> and acquisition of metastatic behaviour in some tumour cells, including <e2> breast cancer </e2> and melanoma, but not in others, such as neuroblastoma and colon, cervical and thyroid cancers.	0	nm23 gene	breast cancer
In <e2> MCF-7 </e2> , an increase in <e1> Bad </e1> and Bax protein expression and a decrease in Bcl-x(L) protein and Bcl-2 protein and mRNA were observed.	0	Bad	MCF-7
Response to bicalutamide in <e2> LNCaP </e2> cells was represented by downregulation of androgen-regulated genes, activation of the p53 pathway and inhibition of telomerase, which was associated with downregulation of v-myc avian myelocytomatosis viral oncogene homologue ( <e1> MYC </e1> ) and telomerase reverse transcriptase subunit.	0	MYC	LNCaP
From a clinical perspective, we suggest that if chemically stable <e1> FASN </e1> inhibitors or cell-selective systems able to deliver RNAi targeting FASN gene demonstrate systemic anticancer effects of FASN inhibition in vivo, additional preclinical studies to characterize their anti- <e2> breast cancer </e2> actions should be of great interest as the specific blockade of FASN activity may also provide a protective means against endometrial carcinoma associated with tamoxifen-based breast cancer therapy.	1	FASN	breast cancer
Together, our data suggest that strong <e1> Tiam1 </e1> overexpression relative to the corresponding benign epithelial cells is a new and independent predictor of decreased DFS for patients with <e2> prostate cancer </e2> .	0	Tiam1	prostate cancer
Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins ( <e1> albumin </e1> , alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with <e2> prostatic cancer </e2> prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy.	0	albumin	prostatic cancer
In <e2> MDA-MB-231 </e2> , TGF-beta1 had no effect on cell proliferation but increased <e1> uPA </e1> activity and PAI-1 antigen level; sodium butyrate inhibited both cell proliferation and uPA activity but had no effect on PAI-1 level.	0	uPA	MDA-MB-231
E2 but not ICI stimulated <e1> BMP-6 </e1> reporter activity in <e2> breast cancer </e2> cells, whereas the opposite was observed in osteoblast-like cells, associated with lack of AF-2 dependence of the response, and absent intranuclear localization of ERalpha, suggesting the involvement of a distinct ERalpha-dependent response mechanism in osteoblasts.	0	BMP-6	breast cancer
For patients with metastatic <e2> prostate cancer </e2> , treatment is primarily palliative, relying mainly on the suppression of systemic <e1> androgen hormone </e1> levels.	0	androgen hormone	prostate cancer
Induction of <e1> thymidine phosphorylase </e1> expression and enhancement of efficacy of capecitabine or 5'-deoxy-5-fluorouridine by cyclophosphamide in <e2> mammary tumor </e2> models.	0	thymidine phosphorylase	mammary tumor
The cellular retinol binding protein I gene ( <e1> CRBP </e1> ) is downregulated in a subset of human <e2> breast cancers </e2> and in MMTV-Myc induced mouse mammary tumors.	0	CRBP	breast cancers
In conclusion, physiological elevation of the <e1> bFGF </e1> during normal menstruation can influence the precise interpretation of the pathological elevation of the bFGF in pre-menopausal <e2> breast cancer </e2> patients.	0	bFGF	breast cancer
Furthermore, knockdown of <e1> cyclin D1 </e1> in <e2> breast carcinoma </e2> cells led to a reduction in anchorage-independent growth.	1	cyclin D1	breast carcinoma
Treatment with the oxidizing agents H2O2 and menadione produced an increase in <e1> gamma-glutamyl transpeptidase </e1> activity in <e2> LNCaP </e2> cells, whereas treatment with the antioxidant compound ascorbic acid (100 mM) reduced the oxidative stress produced in LNCaP cells by 1 nM R1881 and completely blocked the gamma-glutamyl transpeptidase activity.	0	gamma-glutamyl transpeptidase	LNCaP
<e2> MCF-7 </e2> (estrogen receptor positive--ER+) and MDA-MB-231 (estrogen receptor negative--ER-) are human breast cancer cell lines which express functional thyroid hormone receptors (c-erb A alpha1 and c-erb beta1) as indicated by stimulation of <e1> mitochondrial alpha-glycerophosphate dehydrogenase </e1> .	0	mitochondrial alpha-glycerophosphate dehydrogenase	MCF-7
Further, treating specific inhibitors for PI3K (Wortmannin) or JNK (SP600125) to <e2> PC-3 </e2> cells could reduce the protein expressions of MMP-2 and <e1> MMP-9 </e1> .	0	MMP-9	PC-3
P1, a <e1> high mobility group-like protein </e1> is depressed in human <e2> breast adenocarcinoma </e2> .	0	high mobility group-like protein	breast adenocarcinoma
The accumulation of <e1> p53 protein </e1> was analysed immunohistochemically in <e2> ovarian cancer </e2> and correlated with clinical data to further clarify the role of p53 mutations for prognosis in these patients.	0	p53 protein	ovarian cancer
Lysophosphatidic acid (LPA), at concentrations present in ascitic fluid, indirectly stimulates the growth of malignant ovarian tumors by increasing the expression of <e1> vascular endothelial growth factor </e1> (VEGF) in <e2> ovarian cancer </e2> cells.	1	vascular endothelial growth factor	ovarian cancer
Finally, ErbB2-amplified <e2> breast cancer </e2> cells expressing a specific Pak inhibitor showed delayed tumor formation and downregulation of <e1> Erk </e1> and Akt signaling in vivo.	0	Erk	breast cancer
These results indicate that the overexpression of <e1> H-ras </e1> in human <e2> breast tumors </e2> is not correlated with alteration of the protooncogene.	0	H-ras	breast tumors
Conversely, <e1> cav-1 </e1> transfection in <e2> IGROV1 </e2> cells led to downregulated alphaFR expression, together with formation of caveolar structures and reduction of growth capability.	1	cav-1	IGROV1
Administration of exogenous LTB4 (1-10 nmol/L) was able to stimulate the promoter activity of <e1> FASN </e1> in <e2> MCF-7 </e2> cells.	0	FASN	MCF-7
In <e2> MCF-7 </e2> , an increase in Bad and Bax protein expression and a decrease in <e1> Bcl-x(L) protein </e1> and Bcl-2 protein and mRNA were observed.	0	Bcl-x(L) protein	MCF-7
These results suggest that down-regulation of <e1> PRA </e1> is associated with the development of <e2> ovarian epithelial carcinoma </e2> .	0	PRA	ovarian epithelial carcinoma
