sentence	label	e1	e2	evs
Up-regulated expression of <e1> AR </e1> and GRP78 expression in untreated <e2> prostate cancer </e2> predicts a less favourable outcome.	0	AR	prostate cancer	node AR and prostate cancer has the following common neighbors: lymph node, SSBP2, testis, TGFBR1, prostate gland
L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and <e1> N-myc downstream regulated gene 1 </e1> in <e2> prostate carcinoma </e2> cells.	1	N-myc downstream regulated gene 1	prostate carcinoma	node N-myc downstream regulated gene 1/t and prostate carcinoma has the following common neighbors: Paroxetine, Riluzole, Testosterone, Testosterone Propionate,
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of <e1> miR-98 </e1> , let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-98	BPH	node miR-98/irf9 and BPH/prostate cancer has the following common neighbors: MYC, lymph node, testis, Etoposide, PRKDC
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins Bcl-XL and <e1> survivin </e1> .	0	survivin	prostate cancer	node survivin/BIRC5 and prostate cancer has the following common neighbors: TPI1, SLC35A1, GADD45A, testis, TIRAP
Quinazoline-based alpha 1-adrenoceptor antagonists induce <e2> prostate cancer </e2> cell apoptosis via TGF-beta signalling and <e1> I kappa B alpha </e1> induction.	1	I kappa B alpha	prostate cancer	node I kappa B alpha/ik and prostate cancer has the following common neighbors: PARP1, PFDN5, TYMS, PRKCQ, RPN1
Increased levels of <e1> plasma haemoxygenase-1 </e1> in <e2> prostate cancer </e2> .	0	plasma haemoxygenase-1	prostate cancer	node plasma haemoxygenase-1/plaa and prostate cancer has the following common neighbors: SUMO2, lymph node, testis, renal system, FAF2
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and <e1> miR-183 </e1> , with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-183	BPH	
Androgen-sensitive <e2> LNCaP </e2> prostate cancer cells engineered to stably overexpress <e1> CDK6 </e1> display increased expression of the prostate-specific antigen and enhanced growth in the presence of dihydrotestosterone.	1	CDK6	LNCaP	node CDK6 and LNCaP/prostate cancer has the following common neighbors: VIM, FOXA1, BAD, NCOA3, SERPINA3
Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of <e2> prostate cancer </e2> cells by up-regulating the expression of <e1> CRABPI </e1> for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta.	1	CRABPI	prostate cancer	node CRABPI/crabp1 and prostate cancer has the following common neighbors: TMEM50A, prostate gland, urethra, testis,
These results suggest that TMS may inhibit the cell cycle through induction of <e1> p27 </e1> (kip1), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	p27	PC-3	
<e1> TSPO </e1> expression is increased in prostatic intraepithelial neoplasia, primary <e2> prostate cancer </e2> , and metastases compared with normal prostate tissue and benign prostatic hyperplasia.	0	TSPO	prostate cancer	node TSPO and prostate cancer has the following common neighbors: urethra, bone marrow, seminal vesicle, lymph node, prostate gland
To evaluate retrospectively the effectiveness of transurethral resection of the prostate (TURP) in diagnosing <e2> prostate cancer </e2> in patients with obstructive voiding symptoms and a history of negative transrectal prostate biopsy but elevated prostate-specific antigen ( <e1> PSA </e1> ) and/or abnormal digital rectal examination (DRE).	0	PSA	prostate cancer	
These results suggest that TMS may inhibit the cell cycle through induction of p27( <e1> kip1 </e1> ), leading to apoptotic cell death in <e2> PC-3 </e2> prostate cancer cells.	1	kip1	PC-3	node kip1/akip1 and PC-3/prostate cancer has the following common neighbors: bone marrow, renal system, seminal vesicle, testis, urethra
Compared with <e2> BPH </e2> , the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of <e1> miR-96 </e1> , miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05).	0	miR-96	BPH	node miR-96/march6 and BPH/prostate cancer has the following common neighbors: testis, bone marrow, lymph node, EZH2, prostate gland
L-mimosine enhanced expression of <e1> Btg2 </e1> and Ndrg1, which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Btg2	PC-3	node Btg2 and PC-3/prostate cancer has the following common neighbors: TMEM50A, CNOT1, NQO1, MMP7, testis
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing MMP-2 and <e1> MMP-9 </e1> expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-9	PC-3	node MMP-9/mmp9 and PC-3/prostate cancer has the following common neighbors: MMP7, testis, lymph node, bone cancer, EP300
L-mimosine blocks cell proliferation via upregulation of <e1> B-cell translocation gene 2 </e1> and N-myc downstream regulated gene 1 in <e2> prostate carcinoma </e2> cells.	1	B-cell translocation gene 2	prostate carcinoma	
