sentence	label	e1	e2	evs
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins Bcl-XL and <e1> survivin </e1> .	0	survivin	prostate cancer	survivin/BIRC5 is connected to prostate cancer via the following relation paths: BIRC5 regulates SSBP2, prostate cancer associates with SSBP2
In keeping with our clinical data, activation of <e1> AR </e1> by dihydrotestosterone (DHT) potently activated GRP78 expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	AR	LNCaP	AR is connected to LNCaP/prostate cancer via the following relation paths: urethra upregulates ARF4, prostate cancer localizes in urethra
Increased levels of <e1> plasma haemoxygenase-1 </e1> in <e2> prostate cancer </e2> .	0	plasma haemoxygenase-1	prostate cancer	plasma haemoxygenase-1/plaa is connected to prostate cancer via the following relation paths: heart upregulates PLAA, heart expresses ABCB1, Lenalidomide binds ABCB1, Lenalidomide causes Prostate cancer metastatic
To evaluate retrospectively the effectiveness of transurethral resection of the prostate (TURP) in diagnosing <e2> prostate cancer </e2> in patients with obstructive voiding symptoms and a history of negative transrectal prostate biopsy but elevated prostate-specific antigen ( <e1> PSA </e1> ) and/or abnormal digital rectal examination (DRE).	0	PSA	prostate cancer	
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing <e1> MMP-2 </e1> and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-2	PC-3	MMP-2/mmp2 is connected to PC-3/prostate cancer via the following relation paths: MMP20 participates in single-organism catabolic process, SQRDL participates in single-organism catabolic process, Lenalidomide upregulates SQRDL, Lenalidomide causes Prostate cancer metastatic
Androgen-sensitive <e2> LNCaP </e2> prostate cancer cells engineered to stably overexpress <e1> CDK6 </e1> display increased expression of the prostate-specific antigen and enhanced growth in the presence of dihydrotestosterone.	1	CDK6	LNCaP	CDK6 is connected to LNCaP/prostate cancer via the following relation paths: CDK6 regulates ERBB3, prostate cancer associates with ERBB3
Quinazoline-based alpha 1-adrenoceptor antagonists induce <e2> prostate cancer </e2> cell apoptosis via TGF-beta signalling and <e1> I kappa B alpha </e1> induction.	1	I kappa B alpha	prostate cancer	I kappa B alpha/ik is connected to prostate cancer via the following relation paths: IKBKE regulates SLC35A1, prostate cancer downregulates SLC35A1
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing MMP-2 and <e1> MMP-9 </e1> expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-9	PC-3	MMP-9/mmp9 is connected to PC-3/prostate cancer via the following relation paths: MMP9 interacts with CREBBP, hematologic cancer associates with CREBBP, Lenalidomide treats hematologic cancer, Lenalidomide causes Prostate cancer metastatic
Up-regulated expression of <e1> AR </e1> and GRP78 expression in untreated <e2> prostate cancer </e2> predicts a less favourable outcome.	0	AR	prostate cancer	AR is connected to prostate cancer via the following relation paths: testis upregulates ARL2BP, prostate cancer localizes in testis
L-mimosine enhanced expression of Btg2 and <e1> Ndrg1 </e1> , which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Ndrg1	PC-3	Ndrg1 is connected to PC-3/prostate cancer via the following relation paths: NDRG1 regulates IGF2R, Paroxetine upregulates IGF2R, Paroxetine causes Prostate cancer
In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated <e1> GRP78 </e1> expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	GRP78	LNCaP	GRP78/gpr78 is connected to LNCaP/prostate cancer via the following relation paths: GPR78 regulates FAIM, FAIM regulates SQRDL, Lenalidomide upregulates SQRDL, Lenalidomide causes Prostate cancer metastatic
In vitro and in vivo xenograft experiments in NOD/SCID mice further demonstrated that SOX2 increased the apoptosis-resistant properties of <e2> DU145 </e2> cells with decreased function of store-operated Ca(2+) entry and reduced expression of <e1> Orai1 </e1> at both mRNA and protein levels, suggesting a potential mechanism that contributes to the anti-apoptotic property of SOX2.	0	Orai1	DU145	Orai1 is connected to DU145/prostate cancer via the following relation paths: mammary gland expresses ORAI1, mammary gland expresses SQRDL, Lenalidomide upregulates SQRDL, Lenalidomide causes Prostate cancer metastatic
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins <e1> Bcl-XL </e1> and survivin.	0	Bcl-XL	prostate cancer	Bcl-XL/bcl9l is connected to prostate cancer via the following relation paths: respiratory system expresses BCL9L, respiratory system expresses SQRDL, Lenalidomide upregulates SQRDL, Lenalidomide causes Prostate cancer metastatic
[Overexpression of <e1> human tumor metastasis-related gene TMSG-1 </e1> suppresses cell proliferation and invasion of a highly metastatic <e2> prostate cancer </e2> cell line PC-3M-1E8 in vitro].	1	human tumor metastasis-related gene TMSG-1	prostate cancer	human tumor metastasis-related gene TMSG-1/numa1 is connected to prostate cancer via the following relation paths: pituitary gland expresses NUMA1, pituitary gland downregulates ABCB1, Lenalidomide binds ABCB1, Lenalidomide causes Prostate cancer metastatic
L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and <e1> N-myc downstream regulated gene 1 </e1> in <e2> prostate carcinoma </e2> cells.	1	N-myc downstream regulated gene 1	prostate carcinoma	N-myc downstream regulated gene 1/t is connected to prostate carcinoma via the following relation paths: uterine cervix expresses TMEM14C, uterine cervix expresses MCM6, Paroxetine downregulates MCM6, Paroxetine causes Prostate carcinoma
R-(+) equol and S-(-) equol inhibited motility and invasion in <e2> PC3 </e2> and DU145 cells, while the most strong effect was observed in PC3 cells by R-(+) equol, which might regulated by the activation of <e1> estrogen receptor-alpha </e1> .	1	estrogen receptor-alpha	PC3	
These events result in increased accumulation of <e1> AR </e1> and thus enhanced growth of <e2> prostate cancer </e2> cells at low levels of androgen.	1	AR	prostate cancer	AR is connected to prostate cancer via the following relation paths: ARF4 regulates ADI1, prostate cancer associates with ADI1
L-mimosine enhanced expression of <e1> Btg2 </e1> and Ndrg1, which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Btg2	PC-3	Btg2 is connected to PC-3/prostate cancer via the following relation paths: BTG2 regulates LDHB, prostate cancer associates with LDHB
