sentence	label	e1	e2	evs
Methylseleninic acid enhances taxane drug efficacy against human <e2> prostate cancer </e2> and down-regulates antiapoptotic proteins Bcl-XL and <e1> survivin </e1> .	0	survivin	prostate cancer	survivin is connected to protein, protein, BIR repeat domain, protein family, BIR repeat apoptosis inhibitor survivin, baculoviral IAP repeat-containing protein 5, survivin, Birc5, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
In keeping with our clinical data, activation of <e1> AR </e1> by dihydrotestosterone (DHT) potently activated GRP78 expression in both <e2> LNCaP </e2> and LNCaP-CR cells.	0	AR	LNCaP	AR is connected to technology, 1280776, AR, virtual reality AR, . LNCaP is connected to cell line, cancer cell line, Comprehensive galectin fingerprinting in a panel of 61 human tumor cell lines by RT-PCR and its implications for diagnostic and therapeutic procedures, The use of multicolor fluorescence technologies in the characterization of prostate carcinoma cell lines: a comparison of multiplex fluorescence in situ hybridization and spectral karyotyping data LNCAP, Ln-Cap, LNCaP, Lymph Node Carcinoma of the prostate, .
Increased levels of <e1> plasma haemoxygenase-1 </e1> in <e2> prostate cancer </e2> .	0	plasma haemoxygenase-1	prostate cancer	plasma haemoxygenase-1 is connected to cellular component, 1084626, H1.00.01.1.00001, H1.00.01.0.00011 cytoplasmic membrane, plasma haemoxygenase-1, cell membrane, plasmalemma, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
To evaluate retrospectively the effectiveness of transurethral resection of the prostate (TURP) in diagnosing <e2> prostate cancer </e2> in patients with obstructive voiding symptoms and a history of negative transrectal prostate biopsy but elevated prostate-specific antigen ( <e1> PSA </e1> ) and/or abnormal digital rectal examination (DRE).	0	PSA	prostate cancer	PSA is connected to gene, human chromosome 8, human chromosome 8, reverse strand PLAG1 zinc finger, ZNF912, SRS4, SGPA, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing <e1> MMP-2 </e1> and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-2	PC-3	MMP-2 is connected to gene, human chromosome 16, human chromosome 16, forward strand TBE-1, CLG4, CLG4A, MONA, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
Androgen-sensitive <e2> LNCaP </e2> prostate cancer cells engineered to stably overexpress <e1> CDK6 </e1> display increased expression of the prostate-specific antigen and enhanced growth in the presence of dihydrotestosterone.	1	CDK6	LNCaP	CDK6 is connected to gene, human chromosome 7, human chromosome 7, rheumatoid arthritis PLSTIRE, cyclin dependent kinase 6, CDK6, cyclin-dependent kinase 6, . LNCaP is connected to cell line, cancer cell line, Comprehensive galectin fingerprinting in a panel of 61 human tumor cell lines by RT-PCR and its implications for diagnostic and therapeutic procedures, The use of multicolor fluorescence technologies in the characterization of prostate carcinoma cell lines: a comparison of multiplex fluorescence in situ hybridization and spectral karyotyping data LNCAP, Ln-Cap, LNCaP, Lymph Node Carcinoma of the prostate, .
Quinazoline-based alpha 1-adrenoceptor antagonists induce <e2> prostate cancer </e2> cell apoptosis via TGF-beta signalling and <e1> I kappa B alpha </e1> induction.	1	I kappa B alpha	prostate cancer	I kappa B alpha is connected to protein, C0126732, Ankyrin repeat-containing domain superfamily, Ankyrin repeat, protein family ikB-alpha, I-kappa-B-alpha, NF-KappaB Inhibitor alpha, I kappa B alpha, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
These results showed fisetin could inhibit the metastatic ability of <e2> PC-3 </e2> by reducing MMP-2 and <e1> MMP-9 </e1> expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.	1	MMP-9	PC-3	MMP-9 is connected to gene, human chromosome 20, human chromosome 20, forward strand GELB, CLG4B, gelatinase B, MANDP2, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
Up-regulated expression of <e1> AR </e1> and GRP78 expression in untreated <e2> prostate cancer </e2> predicts a less favourable outcome.	0	AR	prostate cancer	AR is connected to technology, 1280776, AR, virtual reality AR, . prostate cancer is connected to class of disease, 185, urology, oncology prostate cancer, tumor of the prostate, hereditary prostate cancer, prostatic cancer, .
L-mimosine enhanced expression of Btg2 and <e1> Ndrg1 </e1> , which attenuated cell proliferation of the <e2> PC-3 </e2> and LNCaP prostate carcinoma cells.	1	Ndrg1	PC-3	Ndrg1 is connected to gene, human chromosome 8, human chromosome 8, post-traumatic stress disorder GC4, NMSL, RIT42, TARG1, . PC-3 is connected to cell line, cancer cell line, Global proteome analysis of the NCI-60 cell line panel, The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology PC.3, PC-3, PC3, .
