sentence	label	e1	e2
Co-administration with efavirenz or <e1> fluconazole </e1> had a modest effect on the pharmacokinetics of <e2> azithromycin </e2> .	1	fluconazole	azithromycin
Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipramine, diazepam, dicumarol, doxycycline, ethosuximide, felbamate, felodipine, glucocorticoids, haloperidol, itraconazole, lamotrigine, levothyroxine, lorazepam, methadone, midazolam, mirtazapine, <e1> nortriptyline </e1> , olanzapine, oral contraceptives(3), <e2> oxcarbazepine </e2> , Phenytoin(4), praziquantel, protease inhibitors, quetiapine, risperidone, theophylline, topiramate, tiagabine, tramadol, triazolam, valproate, warfarin(5) , ziprasidone, and zonisamide.	0	nortriptyline	oxcarbazepine
Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, <e1> indomethacin </e1> ), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with <e2> PROLEUKIN </e2> may increase toxicity in these organ systems.	1	indomethacin	PROLEUKIN
Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, <e1> delavirdine </e1> , desipramine, diazepam, dicumarol, doxycycline, ethosuximide, felbamate, felodipine, glucocorticoids, haloperidol, itraconazole, lamotrigine, levothyroxine, lorazepam, methadone, midazolam, mirtazapine, nortriptyline, olanzapine, oral contraceptives(3), oxcarbazepine, Phenytoin(4), praziquantel, protease inhibitors, quetiapine, risperidone, theophylline, topiramate, tiagabine, tramadol, triazolam, valproate, warfarin(5) , <e2> ziprasidone </e2> , and zonisamide.	0	delavirdine	ziprasidone
Therefore, concurrent use of <e1> Trileptal </e1> with <e2> hormonal contraceptives </e2> may render these contraceptives less effective.	1	Trileptal	hormonal contraceptives
The steady state plasma concentrations of <e1> imipramine </e1> and desipramine have been reported to be increased an average of 31% and 20%, respectively, by the concomitant administration of <e2> alprazolam </e2> tablets in doses up to 4 mg/day.	1	imipramine	alprazolam
The following are examples of drugs known to inhibit the metabolism of other related <e1> benzodiazepines </e1> , presumably through inhibition of CYP3A: nefazodone, fluvoxamine, cimetidine, diltiazem, <e2> isoniazide </e2> , and some macrolide antibiotics.	1	benzodiazepines	isoniazide
acetaminophen/theophylline, lidocaine/quinidine, phenobarbital/ <e1> acetaminophen </e1> , phenobarbital/valproic acid, quinidine/lidocaine, theophylline/acetaminophen, and <e2> valproic acid </e2> /phenobarbital.	0	acetaminophen	valproic acid
The ECG changes and/or hypokalemia that may result from the administration of non-potassium sparing diuretics (such as <e1> loop diuretics </e1> ) can be acutely worsened by <e2> beta-agonists </e2> , especially when the recommended dose of the beta-agonist is exceeded.	1	loop diuretics	beta-agonists
<e1> Glyburide </e1> : The concomitant administration of <e2> ciprofloxacin </e2> with the sulfonylurea glyburide has, on rare occasions, resulted in severe hypoglycemia.	0	Glyburide	ciprofloxacin
