sentence	label	e1	e2
Recessive mutations in <e1> RPD1 </e1> and RPD3 suppress the <e2> TRK2 </e2> , conferring an approximately fourfold increase in transcription .	1	RPD1	TRK2
Expression of <e1> PHO80 </e1> and <e2> PHO85 </e2> has been studied by means of lacZ fusions .	0	PHO80	PHO85
<e1> CLB1 </e1> and CLB2 mRNA levels peak late in the cell cycle , whereas CLB3 and CLB4 are expressed earlier in the cell cycle but peak later than the G1 - specific cyclin , <e2> CLN1 </e2> .	0	CLB1	CLN1
However , SRN1 does regulate the level of two newly discovered antigens , <e1> p43 </e1> and <e2> p70 </e2> , one of which is not glucose repressible .	0	p43	p70
Together , these data suggest that TAPA- 1 and <e1> Leu- 13 </e1> are broadly expressed members of a signal transduction complex in which lineage - specific proteins , such as CD19 and <e2> CD21 </e2> provide cell - specific functions .	0	Leu- 13	CD21
Residual translation of the cox3 - 1 mutant mRNA was dependent upon the three nuclearly coded mRNA - specific activators <e1> PET494 </e1> PET54 and <e2> PET122 </e2> known from previous studies to work through a site ( or sites ) upstream of the initiation codon to promote translation of the wild - type mRNA .	0	PET494	PET122
We report the isolation and functional analysis of the gene <e1> UBA1 </e1> for the <e2> ubiquitin </e2> activating enzyme of the yeast Saccharomyces cerevisiae .	0	UBA1	ubiquitin
Furthermore , <e1> slu4- 1 </e1> and <e2> slu7- 1 </e2> are lethal in combination with mutations in PRP16 and PRP18 , which also function in the second step , but not with mutations in factors required for the first catalytic step , such as PRP8 and PRP4 .	0	slu4- 1	slu7- 1
Also , like <e1> wee1 </e1> and cdc2-w , stf1 suppression of <e2> cdc25 </e2> is reversed by overexpression of the putative type 1 protein phosphatase bws1+/dis2 +.	0	wee1	cdc25
A complex formed with human <e1> TFIID </e1> and <e2> TFIIA </e2> ( DA complex ) was specifically recognized by TFIIB .	0	TFIID	TFIIA
Comparative analysis of the predicted amino acid sequence has shown that the CAL1 product has similarity to two yeast proteins : the DPR1 ( RAM ) gene product that is involved in processing of ras protein at the farnesylation step , and the essential <e1> ORF2 </e1> protein whose structural gene has a head - to - head arrangement with <e2> PRP4 </e2> , which is involved in mRNA processing .	0	ORF2	PRP4
Here we report that four newly discovered suppressors of <e1> YPT1 </e1> deletion ( SLY1- 20 , SLY2 , <e2> SLY12 </e2> and SLY41 ) to a varying degree restore ER - to - Golgi transport defects in cells lacking Ypt1 p .	1	YPT1	SLY12
Incubation of a temperature - sensitive gcdl - 101 mutant at the restrictive temperature led to a rapid reduction in the average size and quantity of polysomes , plus an accumulation of inactive 80S ribosomal couples ; in addition , excess amounts of <e1> eIF- 2 </e1> alpha , GCD1 <e2> GCD2 </e2> and GCN3 were found comigrating with free 40S ribosomal subunits .	0	eIF- 2	GCD2
Although <e1> EFT1 </e1> and <e2> EFT2 </e2> are located on separate chromosomes , the DNA sequences of the two genes differ at only four positions out of 2526 base pairs , and the predicted protein sequences are identical .	0	EFT1	EFT2
Lipoprotein lipase <e1> LPL </e1> , the major lipolytic enzyme involved in the conversion of triglyceride - rich lipoproteins to remnants , was found to compete with binding of activated alpha 2 - macroglobulin ( alpha 2 M * ) to the low density lipoprotein receptor - related protein <e2> LRP </e2> / alpha 2 - macroglobulin receptor .	0	LPL	LRP
We show that the Rh3 and <e1> Rh4 </e1> <e2> opsin </e2> genes encode UV - sensitive opsins with similar spectral properties ( lambda max = 345 nm and 375 nm ) , and that Rh3 corresponds to the R7 p and R7 marg class of visual pigments .	1	Rh4	opsin
Saccharomyces cerevisiae strains that contain null alleles of two hsp70 genes , <e1> SSA1 </e1> and <e2> SSA2 </e2> , are temperature sensitive for growth .	0	SSA1	SSA2
Increased dosage of these genes partially compensates for defects in nutrient utilization and sporulation in <e1> snf1 </e1> and <e2> snf4 </e2> null mutants , but does not restore invertase expression .	0	snf1	snf4
The <e1> SNF1 </e1> protein kinase and the associated <e2> SNF4 </e2> protein are required for release of glucose repression in Saccharomyces cerevisiae .	0	SNF1	SNF4
Sequence analysis indicates that all these SED genes encode membrane proteins : SED1 encodes a probable cell surface glycoprotein ; SED2 is identical to <e1> SEC12 </e1> , a gene required for the formation of ER - derived transport vesicles ; SED4 encodes a protein whose cytoplasmic domain is 45 % identical to that of Sec12 p ; SED3 is <e2> DPM1 </e2> the structural gene for dolichol - P- mannose synthase .	0	SEC12	DPM1
Furthermore , high levels of <e1> PHO80 </e1> were shown to suppress the effect of a <e2> PHO85 </e2> deletion at a level close to full repression .	1	PHO80	PHO85
Two of the genes , PPH21 and <e1> PPH22 </e1> encode highly similar proteins that are homologs of the mammalian protein phosphatase 2A ( PP2A ) , while the third gene , <e2> PPH3 </e2> , encodes a new PP2A - related protein .	0	PPH22	PPH3
Two genes in Drosophila , <e1> rdgA </e1> and <e2> rdgB </e2> which when defective cause retinal degeneration , were discovered by Hotta and Benzer ( Hotta , Y. , and S. Benzer .	0	rdgA	rdgB
The Saccharomyces cerevisiae <e1> GPA1 </e1> , <e2> STE4 </e2> and STE18 genes encode products homologous to mammalian G - protein alpha , beta , and gamma subunits , respectively .	0	GPA1	STE4
We propose that SWI4 participates in a positive feedback loop by which CLN1 <e1> CLN2 </e1> , and possibly <e2> HCS26 </e2> promote their own transcription in G1 .	0	CLN2	HCS26
Overexpression of the <e1> STE4 </e1> gene product also suppressed the sterility of cells defective in the mating pheromone receptors encoded by the <e2> STE2 </e2> and STE3 genes .	0	STE4	STE2
The MDH3 isozyme of Saccharomyces cerevisiae was purified from a haploid strain containing disruptions in genomic loci encoding the mitochondrial <e1> MDH1 </e1> and nonmitochondrial <e2> MDH2 </e2> isozymes .	0	MDH1	MDH2
<e1> BEM1 </e1> maps centromere distal to <e2> TYR1 </e2> on chromosome II , and BEM2 maps between SPT15 and STP2 on chromosome V .	0	BEM1	TYR1
Mutations in RAD1 and <e1> RAD52 </e1> decrease the ability of HOT1 to stimulate intrachromosomal recombination while mutations in RAD4 and <e2> RAD50 </e2> do not affect HOT1 activity .	0	RAD52	RAD50
