sentence	label	e1	e2
Researchers at Akishima Laboratories have developed similar devices in the past that used waves to draw pictures on the <e1> surface </e1> of <e2> water </e2> .	0	surface	water
The <e1> sledgehammer </e1> can apply more <e2> impulse </e2> than other hammers due to its large size.	0	sledgehammer	impulse
The technical reference manual represents the <e1> guidelines </e1> for the <e2> preparation </e2> of hazardous waste management plans.	0	guidelines	preparation
The <e1> concrete sidewalk </e1> radiated <e2> heat </e2> like a furnace, and there was no relief in the shade of a large crepe myrtle tree as they walked under it.	0	concrete sidewalk	heat
<e1> Infection </e1> starts with <e2> manual execution </e2> of the binary.	1	Infection	manual execution
Mathematical <e1> talent </e1> is a combination of <e2> ingenuity </e2> , insight, creativity, the willingness to experiment, and persistence.	0	talent	ingenuity
Two years ago, President George W. Bush ordered the <e1> activation </e1> by the <e2> end </e2> of of a system capable of defending the United States against a missile attack by a terrorist group or an unfriendly rogue state such as North Korea.	0	activation	end
The <e1> outage </e1> was for <e2> reconfiguration </e2> of the new replica database.	0	outage	reconfiguration
As viewed by a worshiper seated among the congregation, there are two speaker's stands on either <e1> side </e1> of the <e2> front </e2> of the church.	0	side	front
The <e1> <e2> physician </e2> bill </e1> is from the physician who provided your care during your hospital stay or the physician who read and interpreted your test results.	0	<e2> physician </e2> bill	physician
Retailers should report the income from a <e1> coupon </e1> 's face value and its related handling fee at the time the coupon is received from the <e2> customer </e2> .	0	coupon	customer
When the <e1> taxi driver </e1> stopped his <e2> car </e2> and got out, the two people ran up the street toward downtown Potsdam.	0	taxi driver	car
The <e1> light </e1> in the background is from the <e2> sunrise </e2> .	0	light	sunrise
Line 10 requires providing the full legal name of the <e1> service provider </e1> providing the <e2> connection </e2> .	0	service provider	connection
Virtually all hillside <e1> farmers </e1> grow maize during both seasons, and many of the farmers cultivate <e2> beans </e2> , rice, and other crops as well.	0	farmers	beans
The <e1> boil </e1> in a <e2> bag </e2> omelets work great too.	0	boil	bag
The sliding doors provide 360 degree visibility for the <e1> room </e1> 's <e2> occupants </e2> .	0	room	occupants
Six glowing disks await <e1> activation </e1> by the <e2> footsteps </e2> of desert wanderers.	1	activation	footsteps
Where credit is granted, the <e1> supplier </e1> 's <e2> invoice </e2> will be payable within 30 days.	0	supplier	invoice
The <e1> worms </e1> are kept in a <e2> box </e2> with bedding made from such materials as straw, grass clippings, or shredded paper.	0	worms	box
The <e1> sub-catchment </e1> is farmed primarily for <e2> beef sucklers </e2> with a single dairy enterprise and a single poultry unit so the land use is entirely grassland.	0	sub-catchment	beef sucklers
The <e1> software </e1> is used for managing <e2> websites </e2> .	0	software	websites
<e1> Canola </e1> <e2> seed </e2> are small, and placement at a shallow depth is required.	0	Canola	seed
Iraqi forces kill <e1> hundreds </e1> of <e2> gunmen </e2> in Najaf.	0	hundreds	gunmen
The <e1> granite </e1> <e2> benches </e2> are former windowsills from the Hearst Memorial Mining Building.	0	granite	benches
The <e1> tutors </e1> provide a consistent, reliable <e2> intervention </e2> that allows students who are falling behind an opportunity to reach proficiency.	0	tutors	intervention
Touch sliding <e1> keyboard </e1> offers keyless <e2> typing </e2> .	0	keyboard	typing
The <e1> program </e1> is for encryption of the <e2> information </e2> .	0	program	information
The governor general of the Turkish province of Van, Mehmet Niyazi Tanilir, here Saturday said that the joint border of Iran and Turkey was a <e1> model </e1> for the <e2> world </e2> .	0	model	world
The pipeline had to face the following main concerns from opposition: disturbance of animal migration patterns, <e1> environmental damage </e1> from <e2> spills </e2> , geological concerns and the Alaskan permafrost.	1	environmental damage	spills
The first three arguments will set the environment variable object_is_image if the <e1> request </e1> was for an image <e2> file </e2> .	0	request	file
Our Belle de Provence <e1> soaps </e1> are 100% pure vegetable soaps enriched with <e2> shea butter </e2> and sweet almond oil.	0	soaps	shea butter
Suppose you were given a <e1> bottle </e1> that contains 400 grams of a 3.0% <e2> bleach solution </e2> .	0	bottle	bleach solution
A <e1> therapist </e1> helps the <e2> patient </e2> to understand himself or herself better.	0	therapist	patient
It is entirely possible to sail a <e1> canoe </e1> using a <e2> paddle </e2> to steer.	0	canoe	paddle
In response to the problem, the <e1> assembly </e1> composed the following <e2> statement </e2> .	0	assembly	statement
Short-term <e1> disability </e1> and long-term disability <e2> benefits </e2> are available at no cost to USTelecom employees.	0	disability	benefits
His lung function remained stable after <e1> complete removal </e1> from <e2> exposure </e2> to metalworking fluids.	0	complete removal	exposure
The HP LaserJet 3800n's instant-on <e1> fuser </e1> produces the first <e2> page </e2> of each print job in less than 12.5 seconds.	0	fuser	page
Gradually I proceeded to reflect upon the consequences of Pleyel's mistake, and on the measures I should take to guard myself against future <e1> injury </e1> from that <e2> man </e2> .	1	injury	man
Many tons of <e1> paper </e1> are used for printing <e2> tickets </e2> .	0	paper	tickets
The <e1> ancients </e1> cultivated the <e2> species </e2> 'Heracleum Sphondylium' which is the parsnip a similar plant to carrots.	0	ancients	species
The computer may execute the malicious program as soon as the <e1> email </e1> <e2> message </e2> is viewed.	0	email	message
Combine strawberries and <e1> powder </e1> <e2> sugar </e2> and mix well.	0	powder	sugar
The latest polls earlier this year showed that 87% of Iraqis support a <e1> request </e1> for setting a <e2> timetable </e2> for pulling out the occupation troops.	0	request	timetable
But neither of the <e1> teens </e1> manufactured the <e2> fake device </e2> , he said.	0	teens	fake device
As the molten metal cools, it hardens and assumes the <e1> shape </e1> created by the mold's <e2> cavity </e2> .	0	shape	cavity
The architect created the beautiful division of the space and the exact proportions, the <e1> sculptor </e1> produced the <e2> anatomically correct figures </e2> , and the painter knew how to blend forms and colours into perfect harmony.	0	sculptor	anatomically correct figures
A <e1> pulsar </e1> powers the supernova <e2> remnant </e2> by confirming the existence of the point-like source and discovering a cloud of high-energy electrons around the central object.	0	pulsar	remnant
It is a <e1> device </e1> for aligning a <e2> pinhole </e2> with a microscope objective.	0	device	pinhole
They will cast you out of the <e1> net </e1> like any <e2> fisherman </e2> looking for a certain fish.	0	net	fisherman
Francisco Garcia Lorca sees the <e1> horse </e1> carrying the <e2> rider </e2> , against his will, to his death.	0	horse	rider
Once you put <e1> wine </e1> in a <e2> bottle </e2> , you literally create a time capsule of flavor and fragrance.	0	wine	bottle
The satisfaction was complete - please find below a <e1> statement </e1> from the <e2> producer </e2> .	0	statement	producer
Another good example of the importance of hormonal balance in the body is the <e1> growth hormone </e1> produced by the <e2> pituitary gland </e2> .	0	growth hormone	pituitary gland
The <e1> morning session </e1> contains a <e2> tutorial </e2> that aims to address the basic issues necessary for a better understanding of this complicated topic.	0	morning session	tutorial
The <e1> measurement </e1> was made using a gonio-photometric color measurement <e2> system </e2> .	0	measurement	system
However, in the <e1> car </e1> 's <e2> handbook </e2> , it is stated that the side airbags would only deploy when the car receives a side hit, Wu said.	0	car	handbook
The PRI <e1> government </e1> crushed a burgeoning student movement with <e2> gunfire </e2> that killed scores of peaceful demonstrators.	0	government	gunfire
Like many <e1> recipe </e1> s for stuffing, the original recipe contained <e2> apples </e2> , but as apples are a higher carb fruit, I have substituted cranberries which have the dual effect of making the stuffing lower carb than the regular recipe and also adding a little extra seasonal color and flavor.	0	recipe	apples
It is the <e1> blueprint </e1> for a design <e2> revolution </e2> .	0	blueprint	revolution
They mirror to a large extent, but not entirely, those <e1> provisions </e1> contained in the European <e2> convention </e2> on human rights.	0	provisions	convention
The standard university assessment <e1> scale </e1> is used for all <e2> assessments </e2> .	0	scale	assessments
This is why, not only the contents of the <e1> box </e1> were a <e2> present </e2> , but the box itself was as a present.	0	box	present
Furthermore, <e1> control </e1> over <e2> agricultural research </e2> , production, distribution and practice is shifting from public institutions to private corporations, which are profit driven and are not motivated by humanitarian concerns.	0	control	agricultural research
Unlike most of the annual showers the <e1> antihelion radiant </e1> is produced by <e2> debris </e2> from unknown sources orbiting in a direct motion like the earth.	0	antihelion radiant	debris
A <e1> house </e1> that contains a minimum of three <e2> bedrooms </e2> and a maximum of seven bedrooms to include the proprietor's bedroom is considered to be a B&B (a Town or Country Home or a Farmhouse).	0	house	bedrooms
